01-11 18:30:24.986 25729 24416 D HONFecService: input: groupId=4651, index=4, length=1452
01-11 18:30:24.986 25729 24541 D HONFecService: output: groupId=3066, index=0, length=63
01-11 18:30:24.987 25729 24541 D HONFecService: output: groupId=3066, index=1, length=63
01-11 18:30:24.987 25729 24459 D HONFecService: input: groupId=4652, index=0, length=1452
01-11 18:30:24.989 25729  4595 D HONFecService: output: groupId=3066, index=2, length=63
01-11 18:30:24.990 25729 24050 D HONFecService: input: groupId=4652, index=1, length=1452
01-11 18:30:24.990 25729 21038 D HONFecService: output: groupId=3066, index=3, length=63
01-11 18:30:24.990 25729 24541 D HONFecService: input: groupId=4652, index=2, length=1452
01-11 18:30:24.992 25729 24048 D HONFecService: input: groupId=4652, index=3, length=1452
01-11 18:30:24.993 25729  4606 D HONFecService: output: groupId=3066, index=4, length=63
01-11 18:30:24.995 25729 24050 D HONFecService: output: groupId=3067, index=0, length=63
01-11 18:30:24.996 25729 21038 D HONFecService: input: groupId=4652, index=4, length=1452
01-11 18:30:24.997 25729 21036 D HONFecService: input: groupId=4653, index=0, length=1452
01-11 18:30:24.998 25729 24575 D HONFecService: output: groupId=3067, index=1, length=63
01-11 18:30:24.999 25729 21035 D HONFecService: input: groupId=4653, index=1, length=1452
01-11 18:30:25.000 25729  6200 D HONFecService: output: groupId=3067, index=2, length=63
01-11 18:30:25.001 25729 21034 D HONFecService: output: groupId=3067, index=3, length=63
01-11 18:30:25.002 25729  4598 D HONFecService: input: groupId=4653, index=2, length=1452
01-11 18:30:25.003 25729  4598 D HONFecService: input: groupId=4653, index=3, length=1452
01-11 18:30:25.004 25729 24049 D HONFecService: output: groupId=3067, index=4, length=63
01-11 18:30:25.004 25729 21070 D HONFecService: input: groupId=4653, index=4, length=481
01-11 18:30:25.005 25729  4674 D HONFecService: output: groupId=3068, index=0, length=63
01-11 18:30:25.006 25729  4598 D HONFecService: input: groupId=4654, index=0, length=1227
01-11 18:30:25.006 25729 21070 D HONFecService: input: groupId=4654, index=1, length=1452
01-11 18:30:25.008 25729 24459 D HONFecService: output: groupId=3068, index=1, length=63
01-11 18:30:25.010 25729 21070 D HONFecService: input: groupId=4654, index=2, length=1452
01-11 18:30:25.010 25729 24048 D HONFecService: output: groupId=3068, index=2, length=63
01-11 18:30:25.010 25729 21070 D HONFecService: input: groupId=4654, index=3, length=160
01-11 18:30:25.013 25729 24048 D HONFecService: output: groupId=3068, index=3, length=63
01-11 18:30:25.014 25729 24575 D HONFecService: input: groupId=4656, index=1, length=1452
